id_maquina,antiguedad_anios,uso_semanal_h,temperatura_op_c,material,planta,turno,lote,proveedor,requiere_inspeccion
MQ-0460,5.7,60.2,70.5,aluminio,Rivera,mañana,L-1,PR-12,1
MQ-0458,1.2,55.1,63.1,polímero,Salto,tarde,L-1,PR-06,1
MQ-1023,6.2,70.4,71.3,acero,Salto,mañana,L-3,PR-07,0
MQ-0142,11.3,49.9,47.7,acero,Rivera,mañana,L-6,PR-06,1
MQ-0669,6.2,47.3,63.8,polímero,Salto,noche,L-3,PR-11,0
MQ-1012,7.5,36.7,56.7,aluminio,Paysandú,tarde,L-4,PR-05,0
MQ-0152,6.3,23.0,58.1,aluminio,Salto,mañana,L-4,PR-04,0
MQ-0831,16.9,24.7,50.4,acero,Rivera,tarde,L-2,PR-08,0
MQ-0751,4.2,59.9,63.7,aluminio,Rivera,tarde,L-4,PR-05,1
MQ-0047,5.7,62.7,64.9,acero,Canelones,noche,L-2,PR-08,0
MQ-1133,4.0,52.2,59.9,aluminio,Paysandú,tarde,L-4,PR-08,1
MQ-0129,4.8,55.7,52.4,acero,Canelones,mañana,L-1,PR-04,0
MQ-0035,8.3,42.6,48.9,acero,Canelones,mañana,L-5,PR-11,1
MQ-0281,6.4,47.1,72.3,acero,Salto,mañana,L-4,PR-10,0
MQ-0595,13.2,59.5,55.9,aluminio,Canelones,tarde,L-4,PR-11,1
MQ-0722,0.9,15.5,54.1,aluminio,Rivera,mañana,L-3,PR-02,0
MQ-1129,6.1,38.8,45.7,polímero,Canelones,noche,L-3,PR-06,0
MQ-0400,14.3,43.5,43.1,polímero,Paysandú,tarde,L-2,PR-04,0
MQ-0695,13.5,43.3,52.3,aluminio,Montevideo,tarde,L-3,PR-03,1
MQ-0110,4.8,52.8,71.7,acero,Paysandú,tarde,L-2,PR-12,0
MQ-0670,5.2,69.0,72.1,aluminio,Canelones,noche,L-5,PR-06,0
MQ-0888,6.3,54.3,63.7,aluminio,Rivera,noche,L-5,PR-06,1
MQ-0475,18.0,37.1,51.8,acero,Paysandú,mañana,L-5,PR-10,1
MQ-1164,7.9,45.5,46.6,acero,Salto,noche,L-4,PR-08,0
MQ-0545,3.4,58.4,51.6,polímero,Canelones,noche,L-4,PR-07,1
MQ-0052,1.8,40.2,52.8,acero,Salto,tarde,L-1,PR-07,0
MQ-1188,3.5,36.0,47.7,aluminio,Montevideo,mañana,L-6,PR-03,1
MQ-1125,6.5,53.7,57.0,aluminio,Rivera,noche,L-5,PR-12,1
MQ-0842,4.3,29.5,40.4,acero,Montevideo,noche,L-3,PR-06,0
MQ-0187,12.4,61.8,57.6,acero,Montevideo,noche,L-6,PR-08,1
MQ-0319,4.5,33.3,66.3,acero,Canelones,noche,L-2,PR-11,0
MQ-0141,10.5,68.0,66.6,acero,Canelones,mañana,L-5,PR-05,1
MQ-0944,9.9,19.1,47.3,aluminio,Rivera,mañana,L-4,PR-10,0
MQ-0970,10.9,74.1,69.0,aluminio,Montevideo,noche,L-2,PR-02,1
MQ-0064,0.8,45.3,45.2,polímero,Rivera,noche,L-4,PR-04,0
MQ-1167,5.4,33.6,49.7,acero,Salto,mañana,L-1,PR-07,1
