id_registro,id_maquina,planta,modelo_equipo,turno,antiguedad_meses,horas_operacion,n_mantenimientos_previos,temperatura_c,vibracion_mm_s,presion_bar,consumo_kwh,costo_reparacion_usd,fallo
2355,MQ-0009,Este,XR-200,mañana,51.0,9644.0,2,,3.778,4.61,547.2,,0
2228,MQ-0012,Sur,TL-90,tarde,50.0,8787.0,1,57.71,3.071,6.6,577.1,,0
2398,MQ-0050,Oeste,TL-120,noche,46.0,4944.0,1,61.39,,7.4,479.5,2196.02,1
49,MQ-0123,Este,TL-90,mañana,27.0,5550.0,1,63.67,3.285,5.26,536.2,,0
741,MQ-0072,Sur,BM-500,mañana,18.0,2735.0,1,86.71,2.15,5.71,547.7,,0
188,MQ-0085,Sur,XR-350,mañana,64.0,13025.0,3,61.33,0.874,5.82,568.2,,0
2004,MQ-0180,Sur,xr200,mañana,33.0,6528.0,1,64.71,3.6,6.45,497.3,,0
2778,MQ-0102,Este,BM-500,noche,106.0,17897.0,4,62.4,,6.18,729.3,,0
4122,MQ-0023,Norte,XR-350,mañana,34.0,5646.0,0,71.56,0.621,5.43,501.3,,0
1471,MQ-0028,Oeste,xr200,mañana,72.0,14475.0,3,70.23,1.251,6.22,686.6,,0
721,MQ-0114,Norte,XR-200,mañana,56.0,10963.0,2,73.17,2.679,5.04,659.4,,0
534,MQ-0036,Este,XR-200,tarde,48.0,7828.0,1,82.27,1.926,6.96,710.4,,0
3030,MQ-0093,Norte,XR-350,mañana,21.0,3105.0,4,78.96,2.75,6.65,542.1,,0
541,MQ-0034,Norte,BM-500,mañana,9.0,3459.0,0,59.61,2.23,6.27,359.9,,0
2470,MQ-0133,Norte,XR-200,noche,67.0,7563.0,2,64.62,,5.92,458.1,,0
3655,MQ-0026,Sur,xr350,noche,21.0,3876.0,1,,2.517,6.2,602.5,,0
2083,MQ-0035,Norte,XR-350,mañana,125.0,21226.0,3,59.27,2.151,7.07,752.2,,0
1078,MQ-0013,Norte,XR-200,noche,82.0,14795.0,4,64.77,2.994,6.88,720.1,,0
2520,MQ-0121,Sur,xr200,mañana,31.0,5568.0,3,61.51,1.932,6.33,595.7,,0
665,MQ-0063,Norte,tl120,noche,18.0,4152.0,1,57.47,1.577,7.4,409.8,,0
3641,MQ-0069,Este,BM 500,mañana,11.0,50.0,1,66.55,2.651,6.71,430.1,,0
1122,MQ-0134,Norte,BM-500,tarde,20.0,4069.0,1,56.42,1.237,7.09,430.8,,0
2563,MQ-0089,Norte,TL-90,tarde,24.0,2023.0,0,69.54,2.716,6.59,500.9,,0
1372,MQ-0028,Norte,XR 200,tarde,22.0,5686.0,0,65.2,3.078,5.98,494.6,,0
2191,MQ-0159,Este,XR-350,tarde,17.0,50.0,2,66.35,2.795,6.69,362.3,,0
3977,MQ-0132,Norte,TL-120,mañana,33.0,7631.0,0,61.25,1.278,5.73,436.8,,0
3591,MQ-0115,Este,xr350,mañana,97.0,16293.0,6,85.14,1.598,4.81,880.8,,0
4214,MQ-0172,Sur,bm500,noche,34.0,5594.0,2,,2.828,4.43,771.7,,0
2919,MQ-0001,Este,XR-350,mañana,67.0,11753.0,3,83.74,1.127,7.87,749.1,,0
1381,MQ-0130,Sur,XR 350,noche,32.0,4268.0,2,75.51,,6.6,555.3,,0
1522,MQ-0128,Este,XR-200,noche,21.0,3740.0,1,79.03,2.199,5.95,588.1,,0
1931,MQ-0109,Norte,XR 200,mañana,50.0,10136.0,1,64.2,2.225,6.84,589.8,,0
2223,MQ-0107,Norte,xr350,mañana,14.0,50.0,0,67.57,1.545,5.98,370.5,,0
1374,MQ-0029,Sur,BM-500,mañana,43.0,6950.0,0,78.89,1.48,6.45,621.8,,0
1171,MQ-0082,Norte, XR-200 ,mañana,26.0,7273.0,2,83.02,4.945,6.03,621.3,3341.84,1
1784,MQ-0032,Oeste,XR-200,mañana,60.0,9010.0,4,60.09,2.411,5.84,476.5,,0
1722,MQ-0125,Este,XR-200,mañana,23.0,6159.0,0,69.55,0.763,5.43,572.2,,0
2061,MQ-0122,Norte,XR-350,tarde,39.0,4993.0,1,80.82,4.118,4.88,464.9,,0
162,MQ-0047,Norte,TL-120,mañana,98.0,14820.0,2,80.11,1.915,6.58,697.7,,0
3779,MQ-0131,Norte,XR-350,mañana,35.0,5201.0,0,82.3,1.339,6.79,,,0
570,MQ-0169,Oeste,XR-350,tarde,33.0,8819.0,0,65.04,1.279,4.92,,,0
1180,MQ-0038,Sur,XR-200,mañana,80.0,12593.0,5,68.62,1.241,6.12,696.3,,0
4092,MQ-0132,Este,TL-120,mañana,44.0,9302.0,2,61.8,,5.43,492.5,,0
3571,MQ-0095,Sur,TL-90,noche,30.0,1346.0,1,81.2,,5.73,441.6,,0
2334,MQ-0143,Este,XR-200,noche,29.0,5928.0,4,67.81,1.458,5.82,412.3,,0
4157,MQ-0052,Este,XR-200,tarde,13.0,3009.0,0,68.52,1.223,5.17,345.4,,0
3859,MQ-0093,Norte,XR-350,mañana,43.0,6988.0,3,60.5,0.929,5.72,479.9,,0
1730,MQ-0119,Sur,xr200,mañana,73.0,12122.0,3,70.19,,6.84,767.1,780.18,1
